dteday,cnt,temp,hum,season,yr,mnth,holiday,weekday,workingday,weathersit,atemp,windspeed,casual,registered,instant
2011-02-26,1969,0.2825,0.537917,1,0,2,0,6,0,1,0.282192,0.186571,424,1545,57
2011-03-01,1851,0.266667,0.535,1,0,3,0,2,1,1,0.263879,0.216425,137,1714,60
2011-03-02,2134,0.335,0.449583,1,0,3,0,3,1,1,0.320071,0.307833,231,1903,61
2011-03-03,1685,0.198333,0.318333,1,0,3,0,4,1,1,0.200133,0.225754,123,1562,62
2011-03-05,2077,0.384167,0.789167,1,0,3,0,6,0,2,0.378779,0.251871,640,1437,64
2011-03-07,1872,0.261739,0.551304,1,0,3,0,1,1,1,0.238461,0.341352,244,1628,66
2011-03-08,2133,0.2925,0.420833,1,0,3,0,2,1,1,0.3024,0.12065,316,1817,67
2011-03-10,623,0.389091,0.0,1,0,3,0,4,1,3,0.385668,0.261877,46,577,69
2011-03-11,1977,0.316522,0.649565,1,0,3,0,5,1,2,0.305,0.23297,247,1730,70
2011-03-12,2132,0.329167,0.594583,1,0,3,0,6,0,1,0.32575,0.220775,724,1408,71
2011-03-14,2046,0.325217,0.496957,1,0,3,0,1,1,1,0.332,0.136926,359,1687,73
2011-03-15,2056,0.317391,0.655652,1,0,3,0,2,1,2,0.318178,0.184309,289,1767,74
2011-03-17,2744,0.415,0.602917,1,0,3,0,4,1,1,0.410333,0.209579,424,2320,76
2011-03-18,3239,0.54,0.525217,1,0,3,0,5,1,1,0.527009,0.231017,884,2355,77
2011-03-19,3117,0.4725,0.379167,1,0,3,0,6,0,1,0.466525,0.368167,1424,1693,78
2011-03-20,2471,0.3325,0.47375,1,0,3,0,0,0,1,0.32575,0.207721,1047,1424,79
2011-03-21,2077,0.430435,0.737391,2,0,3,0,1,1,2,0.409735,0.288783,401,1676,80
2011-03-23,2121,0.346957,0.839565,2,0,3,0,3,1,2,0.337939,0.234261,203,1918,82
2011-03-24,1865,0.285,0.805833,2,0,3,0,4,1,2,0.270833,0.243787,166,1699,83
2011-03-25,2210,0.264167,0.495,2,0,3,0,5,1,1,0.256312,0.230725,300,1910,84
2011-03-26,2496,0.265833,0.394167,2,0,3,0,6,0,1,0.257571,0.209571,981,1515,85
2011-03-28,2028,0.264348,0.302174,2,0,3,0,1,1,1,0.257574,0.212204,222,1806,87
2011-03-30,1536,0.3,0.646667,2,0,3,0,3,1,2,0.29735,0.172888,168,1368,89
2011-03-31,1685,0.268333,0.918333,2,0,3,0,4,1,3,0.257575,0.217646,179,1506,90
2011-04-01,2227,0.3,0.68625,2,0,4,0,5,1,2,0.283454,0.258708,307,1920,91
2011-04-03,3249,0.378333,0.48,2,0,4,0,0,0,1,0.378767,0.182213,1651,1598,93
2011-04-04,3115,0.573333,0.42625,2,0,4,0,1,1,1,0.542929,0.385571,734,2381,94
2011-04-08,1471,0.335833,0.83625,2,0,4,0,5,1,2,0.324479,0.226992,172,1299,98
2011-04-11,3348,0.595652,0.716956,2,0,4,0,1,1,2,0.565217,0.324474,855,2493,101
2011-04-12,2034,0.5025,0.739167,2,0,4,0,2,1,2,0.493054,0.274879,257,1777,102
2011-04-15,3126,0.446667,0.67125,2,0,4,1,5,0,1,0.441913,0.226375,642,2484,105
2011-04-18,3429,0.5125,0.5425,2,0,4,0,1,1,1,0.503146,0.163567,669,2760,108
2011-04-19,3204,0.505833,0.665833,2,0,4,0,2,1,2,0.489258,0.157971,409,2795,109
2011-04-20,3944,0.595,0.614167,2,0,4,0,3,1,1,0.564392,0.241925,613,3331,110
2011-04-21,4189,0.459167,0.407083,2,0,4,0,4,1,1,0.453892,0.325258,745,3444,111
2011-04-25,4073,0.606667,0.776667,2,0,4,0,1,1,1,0.5745,0.185333,773,3300,115
2011-04-27,3872,0.62,0.835417,2,0,4,0,3,1,2,0.575142,0.3122,547,3325,117
2011-04-28,4058,0.6175,0.700833,2,0,4,0,4,1,2,0.578929,0.320908,569,3489,118
2011-04-29,4595,0.51,0.457083,2,0,4,0,5,1,1,0.497463,0.240063,878,3717,119
2011-05-01,3351,0.451667,0.762083,2,0,5,0,0,0,2,0.448204,0.106354,1138,2213,121
2011-05-05,4433,0.459167,0.444167,2,0,5,0,4,1,1,0.441917,0.295392,614,3819,125
2011-05-06,4608,0.479167,0.59,2,0,5,0,5,1,1,0.474117,0.228246,894,3714,126
2011-05-12,4864,0.535,0.7475,2,0,5,0,4,1,1,0.523363,0.189667,695,4169,132
2011-05-13,4105,0.5125,0.863333,2,0,5,0,5,1,2,0.4943,0.179725,692,3413,133
2011-05-14,3409,0.520833,0.9225,2,0,5,0,6,0,2,0.500629,0.13495,902,2507,134
2011-05-16,3958,0.5775,0.787917,2,0,5,0,1,1,1,0.550512,0.126871,773,3185,136
2011-05-17,4123,0.561667,0.837917,2,0,5,0,2,1,2,0.538529,0.277354,678,3445,137
2011-05-18,3855,0.55,0.87,2,0,5,0,3,1,2,0.527158,0.201492,536,3319,138
2011-05-21,5805,0.6025,0.626667,2,0,5,0,6,0,1,0.571975,0.12065,2258,3547,141
2011-05-25,4978,0.660833,0.69625,2,0,5,0,3,1,1,0.615542,0.154233,740,4238,145
2011-05-26,4677,0.708333,0.6775,2,0,5,0,4,1,1,0.654688,0.199642,758,3919,146
2011-05-29,4788,0.6675,0.81875,2,0,5,0,0,0,1,0.61555,0.213938,2355,2433,149
2011-05-30,4098,0.733333,0.685,2,0,5,1,1,0,1,0.671092,0.131225,1549,2549,150
2011-06-03,5312,0.62,0.354167,2,0,6,0,5,1,1,0.587133,0.253121,898,4414,154
2011-06-05,4906,0.648333,0.6525,2,0,6,0,0,0,2,0.616804,0.138692,1685,3221,156
2011-06-08,4401,0.775833,0.622083,2,0,6,0,3,1,1,0.727279,0.136817,676,3725,159
2011-06-13,5020,0.635,0.494583,2,0,6,0,1,1,1,0.601654,0.30535,863,4157,164
2011-06-14,4891,0.604167,0.507083,2,0,6,0,2,1,1,0.591546,0.269283,727,4164,165
2011-06-15,5180,0.626667,0.471667,2,0,6,0,3,1,1,0.587754,0.167912,769,4411,166
2011-06-17,4844,0.649167,0.735833,2,0,6,0,5,1,1,0.600383,0.143029,863,3981,168
2011-06-24,4991,0.724167,0.573333,3,0,6,0,5,1,1,0.656583,0.222025,969,4022,175
2011-06-26,5305,0.68,0.513333,3,0,6,0,0,0,1,0.637629,0.0945333,1920,3385,177
2011-06-27,4708,0.6825,0.658333,3,0,6,0,1,1,2,0.637004,0.107588,854,3854,178
2011-06-28,4648,0.744167,0.634167,3,0,6,0,2,1,1,0.692558,0.144283,732,3916,179
2011-06-29,5225,0.728333,0.497917,3,0,6,0,3,1,1,0.654688,0.261821,848,4377,180
2011-07-01,5362,0.7225,0.39625,3,0,7,0,5,1,1,0.652162,0.102608,1246,4116,182
2011-07-02,5119,0.738333,0.444583,3,0,7,0,6,0,1,0.667308,0.115062,2204,2915,183
2011-07-04,6043,0.726667,0.637917,3,0,7,1,1,0,2,0.665417,0.0814792,3065,2978,185
2011-07-05,4665,0.746667,0.590417,3,0,7,0,2,1,1,0.696338,0.126258,1031,3634,186
2011-07-08,4040,0.709167,0.757917,3,0,7,0,5,1,2,0.670483,0.225129,692,3348,189
2011-07-12,4258,0.794167,0.559167,3,0,7,0,2,1,1,0.739275,0.200254,662,3596,193
2011-07-15,5538,0.663333,0.59125,3,0,7,0,5,1,1,0.624371,0.182833,1318,4220,196
2011-07-16,5923,0.686667,0.585,3,0,7,0,6,0,1,0.638263,0.208342,2418,3505,197
2011-07-18,4458,0.746667,0.65125,3,0,7,0,1,1,1,0.703925,0.215804,841,3617,199
2011-07-19,4541,0.776667,0.650417,3,0,7,0,2,1,1,0.747479,0.1306,752,3789,200
2011-07-23,3285,0.849167,0.5,3,0,7,0,6,0,1,0.804287,0.131221,987,2298,204
2011-07-24,3606,0.83,0.550833,3,0,7,0,0,0,1,0.794829,0.169171,1050,2556,205
2011-07-28,4390,0.779167,0.583333,3,0,7,0,4,1,1,0.7399,0.178479,606,3784,209
2011-07-29,3846,0.838333,0.5425,3,0,7,0,5,1,1,0.785967,0.174138,670,3176,210
2011-07-30,4475,0.804167,0.465833,3,0,7,0,6,0,1,0.728537,0.168537,1559,2916,211
2011-07-31,4302,0.805833,0.480833,3,0,7,0,0,0,1,0.729796,0.164813,1524,2778,212
2011-08-01,4266,0.771667,0.550833,3,0,8,0,1,1,1,0.703292,0.156717,729,3537,213
2011-08-02,4845,0.783333,0.49125,3,0,8,0,2,1,1,0.707071,0.20585,801,4044,214
2011-08-04,4576,0.71,0.7575,3,0,8,0,4,1,2,0.664788,0.19715,799,3777,216
2011-08-07,3785,0.7425,0.752917,3,0,8,0,0,0,1,0.715292,0.201487,1298,2487,219
2011-08-09,4602,0.775,0.570417,3,0,8,0,2,1,1,0.724121,0.151121,907,3695,221
2011-08-10,4780,0.766667,0.424167,3,0,8,0,3,1,1,0.684983,0.200258,884,3896,222
2011-08-12,4905,0.708333,0.415,3,0,8,0,5,1,1,0.654042,0.125621,1051,3854,224
2011-08-16,4725,0.700833,0.578333,3,0,8,0,2,1,1,0.645837,0.236329,721,4004,228
2011-08-17,4694,0.723333,0.575417,3,0,8,0,3,1,1,0.666671,0.143667,668,4026,229
2011-08-20,5191,0.6975,0.674167,3,0,8,0,6,0,1,0.648996,0.104467,1914,3277,232
2011-08-23,5895,0.640833,0.455417,3,0,8,0,2,1,1,0.606067,0.146763,1281,4614,235
2011-08-24,5130,0.673333,0.605,3,0,8,0,3,1,1,0.630692,0.253108,949,4181,236
2011-08-25,3542,0.684167,0.771667,3,0,8,0,4,1,2,0.645854,0.210833,435,3107,237
2011-08-27,1115,0.68,0.85,3,0,8,0,6,0,2,0.635556,0.375617,226,889,239
2011-08-28,4334,0.707059,0.561765,3,0,8,0,0,0,1,0.647959,0.304659,1415,2919,240
2011-09-02,4727,0.643333,0.727083,3,0,9,0,5,1,2,0.604808,0.139929,875,3852,245
2011-09-05,3351,0.673333,0.790417,3,0,9,1,1,0,2,0.625646,0.212696,1236,2115,248
2011-09-06,2710,0.54,0.886957,3,0,9,0,2,1,3,0.5152,0.343943,204,2506,249
2011-09-07,1996,0.599167,0.917083,3,0,9,0,3,1,3,0.544229,0.0970208,118,1878,250
2011-09-08,1842,0.633913,0.939565,3,0,9,0,4,1,3,0.555361,0.192748,153,1689,251
2011-09-12,4713,0.644348,0.692174,3,0,9,0,1,1,1,0.60213,0.088913,690,4023,255
2011-09-14,4785,0.673333,0.697083,3,0,9,0,3,1,1,0.6269,0.1673,647,4138,257
2011-09-15,3659,0.5775,0.709167,3,0,9,0,4,1,2,0.553671,0.271146,428,3231,258
2011-09-17,4511,0.491667,0.718333,3,0,9,0,6,0,2,0.478512,0.189675,1434,3077,260
2011-09-18,4274,0.5075,0.695,3,0,9,0,0,0,1,0.490537,0.178483,1353,2921,261
2011-09-19,4539,0.549167,0.69,3,0,9,0,1,1,2,0.529675,0.151742,691,3848,262
2011-09-22,4795,0.628333,0.902083,3,0,9,0,4,1,2,0.554963,0.128125,555,4240,265
2011-09-23,2395,0.609167,0.9725,4,0,9,0,5,1,2,0.522125,0.0783667,258,2137,266
2011-09-24,5423,0.606667,0.8625,4,0,9,0,6,0,2,0.564412,0.0783833,1776,3647,267
2011-09-26,4630,0.649167,0.848333,4,0,9,0,1,1,2,0.589042,0.1107,684,3946,269
2011-09-29,4839,0.616667,0.699167,4,0,9,0,4,1,1,0.574512,0.172883,653,4186,272
2011-10-02,2918,0.356667,0.791667,4,0,10,0,0,0,2,0.345317,0.222013,616,2302,275
2011-10-03,3570,0.384167,0.760833,4,0,10,0,1,1,2,0.392046,0.0833458,330,3240,276
2011-10-05,4826,0.538333,0.647917,4,0,10,0,3,1,1,0.527138,0.17725,559,4267,278
2011-10-06,4765,0.494167,0.620833,4,0,10,0,4,1,1,0.480425,0.134954,639,4126,279
2011-10-09,5511,0.540833,0.7275,4,0,10,0,0,0,1,0.523983,0.06345,2397,3114,282
2011-10-12,2416,0.543333,0.90625,4,0,10,0,3,1,3,0.517717,0.24815,217,2199,285
2011-10-14,3644,0.550833,0.71625,4,0,10,0,5,1,2,0.529675,0.223883,529,3115,287
2011-10-17,4570,0.534167,0.579583,4,0,10,0,1,1,1,0.510725,0.175379,713,3857,290
2011-10-18,4748,0.5325,0.701667,4,0,10,0,2,1,2,0.522721,0.110087,637,4111,291
2011-10-19,2424,0.541739,0.895217,4,0,10,0,3,1,3,0.513848,0.243339,254,2170,292
2011-10-20,4195,0.475833,0.63625,4,0,10,0,4,1,1,0.466525,0.422275,471,3724,293
2011-10-22,4308,0.4225,0.629167,4,0,10,0,6,0,1,0.425492,0.0926667,1499,2809,295
2011-10-24,4187,0.463333,0.772083,4,0,10,0,1,1,1,0.457067,0.118792,699,3488,297
2011-10-27,2659,0.47,0.812917,4,0,10,0,4,1,2,0.457046,0.197763,240,2419,300
2011-10-28,3747,0.330833,0.585833,4,0,10,0,5,1,2,0.318812,0.229479,456,3291,301
2011-10-30,3331,0.319167,0.62375,4,0,10,0,0,0,1,0.321329,0.176617,885,2446,303
2011-11-01,4068,0.400833,0.68375,4,0,11,0,2,1,1,0.397088,0.135571,410,3658,305
2011-11-03,3974,0.408333,0.702083,4,0,11,0,4,1,1,0.405921,0.136817,318,3656,307
2011-11-04,4046,0.403333,0.6225,4,0,11,0,5,1,2,0.403392,0.271779,470,3576,308
2011-11-07,4035,0.395,0.75875,4,0,11,0,1,1,1,0.400871,0.057225,373,3662,311
2011-11-08,4205,0.408333,0.721667,4,0,11,0,2,1,1,0.412246,0.0690375,376,3829,312
2011-11-11,3368,0.324167,0.44625,4,0,11,1,5,0,1,0.306817,0.314675,440,2928,315
2011-11-15,4195,0.53,0.68875,4,0,11,0,2,1,2,0.507579,0.199633,449,3746,319
2011-11-16,1817,0.456667,0.93,4,0,11,0,3,1,3,0.451988,0.136829,145,1672,320
2011-11-20,3520,0.463333,0.684583,4,0,11,0,0,0,2,0.457058,0.18595,787,2733,324
2011-11-21,2765,0.4475,0.91,4,0,11,0,1,1,3,0.445062,0.138054,220,2545,325
2011-11-23,2566,0.440833,0.757917,4,0,11,0,3,1,2,0.430537,0.335825,112,2454,327
2011-11-24,1495,0.373333,0.549167,4,0,11,1,4,0,1,0.372471,0.167304,560,935,328
2011-11-25,2792,0.375,0.64375,4,0,11,0,5,1,1,0.380671,0.0988958,1095,1697,329
2011-11-26,3068,0.375833,0.681667,4,0,11,0,6,0,1,0.385087,0.0684208,1249,1819,330
2011-11-28,3867,0.503478,0.743043,4,0,11,0,1,1,1,0.490122,0.142122,253,3614,332
2011-11-29,2914,0.458333,0.830833,4,0,11,0,2,1,2,0.451375,0.258092,96,2818,333
2011-11-30,3613,0.325,0.613333,4,0,11,0,3,1,1,0.311221,0.271158,188,3425,334
2011-12-01,3727,0.3125,0.524583,4,0,12,0,4,1,1,0.305554,0.220158,182,3545,335
2011-12-02,3940,0.314167,0.625833,4,0,12,0,5,1,1,0.331433,0.100754,268,3672,336
2011-12-03,3614,0.299167,0.612917,4,0,12,0,6,0,1,0.310604,0.0957833,706,2908,337
2011-12-05,3811,0.385833,0.827083,4,0,12,0,1,1,2,0.393925,0.0622083,233,3578,339
2011-12-07,705,0.41,0.970417,4,0,12,0,3,1,3,0.400246,0.266175,50,655,341
2011-12-09,3620,0.290833,0.695833,4,0,12,0,5,1,1,0.317542,0.0827167,261,3359,343
2011-12-11,2743,0.220833,0.49,4,0,12,0,0,0,1,0.253154,0.0665417,377,2366,345
2011-12-13,3523,0.2825,0.59,4,0,12,0,2,1,1,0.301138,0.14055,155,3368,347
2011-12-16,3577,0.375,0.500417,4,0,12,0,5,1,2,0.359825,0.260575,178,3399,350
2011-12-17,2739,0.258333,0.560833,4,0,12,0,6,0,2,0.249371,0.243167,275,2464,351
2011-12-18,2431,0.238333,0.58625,4,0,12,0,0,0,1,0.245579,0.169779,220,2211,352
2011-12-19,3403,0.276667,0.6375,4,0,12,0,1,1,1,0.280933,0.172896,260,3143,353
2011-12-22,3068,0.423333,0.7575,1,0,12,0,4,1,2,0.426121,0.047275,227,2841,356
2011-12-23,2209,0.373333,0.68625,1,0,12,0,5,1,1,0.377513,0.274246,163,2046,357
2011-12-24,1011,0.3025,0.5425,1,0,12,0,6,0,1,0.299242,0.190304,155,856,358
2011-12-27,1162,0.325,0.7625,1,0,12,0,2,1,2,0.327633,0.18845,103,1059,361
2011-12-28,2302,0.29913,0.503913,1,0,12,0,3,1,1,0.279974,0.293961,255,2047,362
2011-12-29,2423,0.248333,0.574167,1,0,12,0,4,1,1,0.263892,0.119412,254,2169,363
2011-12-30,2999,0.311667,0.636667,1,0,12,0,5,1,1,0.318812,0.134337,491,2508,364
2012-01-03,2236,0.15,0.44125,1,1,1,0,2,1,1,0.126275,0.365671,89,2147,368
2012-01-04,2368,0.1075,0.414583,1,1,1,0,3,1,2,0.119337,0.1847,95,2273,369
2012-01-05,3272,0.265833,0.524167,1,1,1,0,4,1,1,0.278412,0.129987,140,3132,370
2012-01-07,4521,0.393333,0.531667,1,1,1,0,6,0,1,0.390779,0.174758,1070,3451,372
2012-01-11,2177,0.274167,0.8475,1,1,1,0,3,1,2,0.282821,0.131221,92,2085,376
2012-01-13,3214,0.274167,0.5075,1,1,1,0,5,1,1,0.249362,0.378108,174,3040,378
2012-01-16,2298,0.19,0.5225,1,1,1,1,1,0,1,0.190663,0.231358,217,2081,381
2012-01-17,2935,0.373043,0.716087,1,1,1,0,2,1,2,0.364278,0.34913,127,2808,382
2012-01-18,3376,0.303333,0.443333,1,1,1,0,3,1,1,0.275254,0.415429,109,3267,383
2012-01-24,4339,0.3425,0.835833,1,1,1,0,2,1,1,0.349108,0.123767,439,3900,389
2012-01-26,4075,0.341667,0.769583,1,1,1,0,4,1,2,0.35605,0.0733958,244,3831,391
2012-01-29,3243,0.2825,0.31125,1,1,1,0,0,0,1,0.272721,0.24005,558,2685,394
2012-01-30,3624,0.269167,0.400833,1,1,1,0,1,1,1,0.262625,0.215792,126,3498,395
2012-01-31,4509,0.39,0.416667,1,1,1,0,2,1,1,0.381317,0.261817,324,4185,396
2012-02-01,4579,0.469167,0.507917,1,1,2,0,3,1,1,0.466538,0.189067,304,4275,397
2012-02-03,4151,0.313333,0.526667,1,1,2,0,5,1,1,0.309346,0.178496,310,3841,399
2012-02-04,2832,0.264167,0.779583,1,1,2,0,6,0,2,0.272725,0.121896,384,2448,400
2012-02-09,3830,0.265,0.562083,1,1,2,0,4,1,1,0.261988,0.194037,163,3667,405
2012-02-10,3831,0.280833,0.54,1,1,2,0,5,1,2,0.293558,0.116929,227,3604,406
2012-02-13,3422,0.2225,0.41125,1,1,2,0,1,1,1,0.227913,0.167283,94,3328,409
2012-02-14,3922,0.319167,0.50875,1,1,2,0,2,1,2,0.333946,0.141179,135,3787,410
2012-02-16,3005,0.316667,0.752917,1,1,2,0,4,1,2,0.330162,0.091425,74,2931,412
2012-02-17,4154,0.343333,0.634583,1,1,2,0,5,1,1,0.351629,0.205846,349,3805,413
2012-02-21,3777,0.287826,0.594348,1,1,2,0,2,1,1,0.295113,0.205717,163,3614,417
2012-02-25,2732,0.290833,0.395833,1,1,2,0,6,0,1,0.255675,0.421642,317,2415,421
2012-02-27,4322,0.366667,0.490833,1,1,2,0,1,1,1,0.357954,0.268033,253,4069,423
2012-02-28,4363,0.359167,0.395833,1,1,2,0,2,1,1,0.353525,0.193417,229,4134,424
2012-02-29,1834,0.344348,0.804783,1,1,2,0,3,1,2,0.34847,0.179117,65,1769,425
2012-03-01,4990,0.485833,0.615417,1,1,3,0,4,1,1,0.475371,0.226987,325,4665,426
2012-03-02,3194,0.353333,0.657083,1,1,3,0,5,1,2,0.359842,0.144904,246,2948,427
2012-03-04,3423,0.325833,0.403333,1,1,3,0,0,0,1,0.303021,0.334571,710,2713,429
2012-03-05,3333,0.243333,0.50625,1,1,3,0,1,1,1,0.241171,0.228858,203,3130,430
2012-03-06,3956,0.258333,0.456667,1,1,3,0,2,1,1,0.255042,0.200875,221,3735,431
2012-03-07,4916,0.404167,0.513333,1,1,3,0,3,1,1,0.3851,0.345779,432,4484,432
2012-03-08,5382,0.5275,0.5675,1,1,3,0,4,1,1,0.524604,0.441563,486,4896,433
2012-03-09,4569,0.410833,0.407083,1,1,3,0,5,1,2,0.397083,0.4148,447,4122,434
2012-03-10,4118,0.2875,0.350417,1,1,3,0,6,0,1,0.277767,0.22575,968,3150,435
2012-03-12,5298,0.466667,0.489167,1,1,3,0,1,1,1,0.459592,0.207713,838,4460,437
2012-03-15,6192,0.5575,0.579583,1,1,3,0,4,1,1,0.532825,0.149883,1005,5187,440
2012-03-19,6153,0.545,0.72875,1,1,3,0,1,1,1,0.532821,0.162317,982,5171,444
2012-03-21,6230,0.531667,0.82125,2,1,3,0,3,1,2,0.513258,0.0895583,1122,5108,446
2012-03-23,8362,0.601667,0.694167,2,1,3,0,5,1,2,0.570067,0.1163,2469,5893,448
2012-03-24,3372,0.5025,0.885417,2,1,3,0,6,0,2,0.486733,0.192783,1033,2339,449
2012-03-25,4996,0.4375,0.880833,2,1,3,0,0,0,2,0.437488,0.220775,1532,3464,450
2012-03-26,5558,0.445833,0.477917,2,1,3,0,1,1,1,0.43875,0.386821,795,4763,451
2012-03-27,5102,0.323333,0.29,2,1,3,0,2,1,1,0.315654,0.187192,531,4571,452
2012-03-29,6133,0.494167,0.439167,2,1,3,0,4,1,1,0.482304,0.31965,834,5299,454
2012-04-01,6041,0.425833,0.67625,2,1,4,0,0,0,2,0.417287,0.172267,2347,3694,457
2012-04-02,5936,0.433913,0.504348,2,1,4,0,1,1,1,0.427513,0.312139,1208,4728,458
2012-04-09,5585,0.489167,0.3175,2,1,4,0,1,1,1,0.476638,0.358196,905,4680,465
2012-04-10,5918,0.446667,0.435,2,1,4,0,2,1,1,0.436233,0.249375,819,5099,466
2012-04-12,5409,0.3975,0.46625,2,1,4,0,4,1,1,0.387604,0.290429,663,4746,468
2012-04-13,6398,0.4425,0.408333,2,1,4,0,5,1,1,0.431808,0.155471,1252,5146,469
2012-04-14,7460,0.495,0.502917,2,1,4,0,6,0,1,0.487996,0.190917,2795,4665,470
2012-04-15,7132,0.606667,0.507917,2,1,4,0,0,0,1,0.573875,0.225129,2846,4286,471
2012-04-18,4367,0.463333,0.569167,2,1,4,0,3,1,2,0.457038,0.167912,347,4020,474
2012-04-23,3214,0.321667,0.766667,2,1,4,0,1,1,2,0.301125,0.303496,195,3019,479
2012-04-25,6196,0.476667,0.427917,2,1,4,0,3,1,1,0.470317,0.118792,655,5541,481
2012-04-26,5026,0.498333,0.756667,2,1,4,0,4,1,2,0.483583,0.176625,475,4551,482
2012-04-27,6233,0.4575,0.400833,2,1,4,0,5,1,1,0.452637,0.347633,1014,5219,483
2012-04-28,4220,0.376667,0.489583,2,1,4,0,6,0,2,0.377504,0.129975,1120,3100,484
2012-05-01,5740,0.613333,0.659583,2,1,5,0,2,1,2,0.577021,0.156096,653,5087,487
2012-05-02,6169,0.564167,0.797083,2,1,5,0,3,1,1,0.537896,0.138058,667,5502,488
2012-05-05,6883,0.621667,0.756667,2,1,5,0,6,0,2,0.584608,0.152992,2496,4387,491
2012-05-09,4717,0.575,0.744167,2,1,5,0,3,1,2,0.553025,0.216412,620,4097,495
2012-05-22,6073,0.615,0.765833,2,1,5,0,2,1,2,0.580825,0.118167,819,5254,508
2012-05-28,6043,0.7125,0.67625,2,1,5,1,1,0,1,0.6793,0.196521,2557,3486,514
2012-05-29,5743,0.7225,0.684583,2,1,5,0,2,1,1,0.672992,0.2954,880,4863,515
2012-05-30,6855,0.656667,0.67,2,1,5,0,3,1,2,0.611129,0.134329,745,6110,516
2012-05-31,7338,0.68,0.492917,2,1,5,0,4,1,1,0.631329,0.195279,1100,6238,517
2012-06-01,4127,0.654167,0.755417,2,1,6,0,5,1,2,0.607962,0.237563,533,3594,518
2012-06-02,8120,0.583333,0.549167,2,1,6,0,6,0,1,0.566288,0.186562,2795,5325,519
2012-06-06,7055,0.554167,0.61125,2,1,6,0,3,1,1,0.542292,0.077125,1027,6028,523
2012-06-07,7494,0.6025,0.567083,2,1,6,0,4,1,1,0.569442,0.15735,1038,6456,524
2012-06-09,7498,0.710833,0.437083,2,1,6,0,6,0,1,0.648367,0.144287,2708,4790,526
2012-06-11,6664,0.720833,0.587917,2,1,6,0,1,1,2,0.659721,0.207713,1017,5647,528
2012-06-13,7421,0.655833,0.582083,2,1,6,0,3,1,1,0.611117,0.343279,1173,6248,530
2012-06-14,7363,0.648333,0.569583,2,1,6,0,4,1,1,0.624383,0.253733,1180,6183,531
2012-06-15,7665,0.639167,0.589583,2,1,6,0,5,1,1,0.599754,0.176617,1563,6102,532
2012-06-16,7702,0.631667,0.504167,2,1,6,0,6,0,1,0.594708,0.166667,2963,4739,533
2012-06-17,6978,0.5925,0.59875,2,1,6,0,0,0,1,0.571975,0.144904,2634,4344,534
